id	SvenTop20R1	SvenTop20R2	SvenTop20R3	AntoniaTop30R1	AntoniaTop30R2	AntoniaTop30R3
12042312101	0	0	0	0	0	0
12042312102	0	0	0	0	0	0
12042312113	0	0	0	0	0	0
12042312104	0	0	0	0	0	0
12042312105	0	0	0	0	0	0
12042312106	0	0	0	0	0	0
12042312107	0	0	0	0	0	0
12042312108	0	0	0	0	0	0
12042312109	0	0	0	0	0	0
120423121110	0	0	0	0	0	0
120423121111	0	0	0	0	0	0
120423121012	0	0	0	0	0	0
120423121013	0	0	0	0	0	0
120423121014	0	0	0	0	0	0
120423121015	0	0	0	0	0	0
120423122116	0	0	0	0	0	0
120423122117	0	0	0	0	0	0
120423122018	0	0	0	0	0	0
120423122019	0	0	0	0	0	0
120423122020	0	0	0	0	0	0
120423122021	0	0	0	0	0	0
120423122022	0	0	0	0	0	0
120423122123	0	0	0	0	0	0
120423122024	0	0	0	0	0	0
120423122025	0	0	0	0	0	0
120423122026	0	0	0	0	0	0
120423122027	0	0	0	0	0	0
120423122028	0	0	0	0	0	0
120423122029	0	0	0	0	0	0
120423122030	0	0	0	0	0	0
120423133031	0	0	0	0	0	0
120423133032	0	0	0	0	0	0
120423133033	0	0	0	0	0	0
120423133134	0	0	0	0	0	0
120423133135	0	0	0	0	0	0
120423133136	0	0	0	0	0	0
120423133037	0	0	0	0	0	0
120423133038	0	0	0	0	0	0
120423133039	0	0	0	0	0	0
120423133040	0	0	0	0	0	0
120423133041	0	0	0	0	0	0
120423133042	0	0	0	0	0	0
120423133043	0	0	0	0	0	0
120423133044	0	0	0	0	0	0
120423133045	0	0	0	0	0	0
120423134046	0	0	0	0	0	0
120423134047	0	0	0	0	0	0
120423134148	0	0	0	0	0	0
120423134049	0	0	0	0	0	0
120423134050	0	0	0	0	0	0
120423134051	0	0	0	0	0	0
120423134052	0	0	0	0	0	0
120423134053	0	0	0	0	0	0
120423134054	0	0	0	0	0	0
120423134055	0	0	0	0	0	0
120423134056	0	0	0	0	0	0
120423134157	0	0	0	0	0	0
120423134058	0	0	0	0	0	0
120423134159	0	0	0	0	0	0
120423134060	0	0	0	0	0	0
120426125161	0	0	0	0	0	0
120426125062	0	0	0	0	0	0
120426125063	0	0	0	0	0	0
120426125064	0	0	0	0	0	0
120426125065	0	0	0	0	0	0
120426125066	0	0	0	0	0	0
120426125067	0	0	0	0	0	0
120426125068	0	0	0	0	0	0
120426125069	0	0	0	0	0	0
120426125070	0	0	0	0	0	0
120426125171	0	0	0	0	0	0
120426125072	0	0	0	0	0	0
120426125173	0	0	0	0	0	0
120426125074	0	0	0	0	0	0
120426125075	0	0	0	0	0	0
120426126076	0	0	0	0	0	0
120426126077	0	0	0	0	0	0
120426126078	0	0	0	0	0	0
120426126079	0	0	0	0	0	0
