ID	Session ID	Datum	Teilnehmer	Antwort	Standardisiert	Kategorie	Antwort_Teilnehmer	Kategorie_ Teilnehmer	Gueltigkeit spez	Gueltigkeit unspez	Flexibilitaet	Originalitaet	Gewoehnlich		Subjektiv_Sascha	Subjektiv_Johannes	Subjektiv_Christian	Subjektiv_Vera	Subjektiv_Julia	Subjektiv_Alina	Subjektiv_Anja	Subjektiv_Andrea	Subjektiv_Roman	Subjektiv_Thiess	Subjektiv_Steffen	Subjektiv_Durchschnitt
S00T15		0	S00T15	Abdeckplane	Abdeckung	Abdeckung	1	2	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T15		0	S00T15	Ball	Ball	Sportgeraet	1	1	1		1	0			0	0	1	1	0	0	0	1	0	0	0	0.2
S00T15		0	S00T15	Brennmaterial	Brennmaterial	Verbrennen_Entzuenden	1	1	1		1	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T15		0	S00T15	Megaphon	Megaphon	Geraeusch	1	2	1		1	1			0	1	1	1	1	0	1	0	1	0	0	0.2
S00T15		0	S00T15	Modellbau (z.B. Architekten)	Modellbau	Spielzeug	1	2	1		1	1			0	0	1	2	1	0	0	0	1	0	0	0.2
S00T15		0	S00T15	Papierspielzeug	Spielzeug, unspezifisch	Spielzeug	1	2	1		0	0			-	-	0	-	0	0	0	0	0	0	0	0
S00T15		0	S00T15	Handtuch	Papiertuch	Hygiene_Reinigung	1	2	1		1	0			0	0	0	1	1	0	0	0	0	0	0	0
S00T15		0	S00T15	Schneiden mit Kante	Schneiden mit Kante	Werkzeug	1	1	1		1	0			0	0	1	2	1	0	0	0	0	0	0	0
S00T15		0	S00T15	Schreibmaterial	Schreibmaterial	Material	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T15		0	S00T15	Sonnenschutz	Sonnenschutz	Schutz	1	1	1		1	0			1	1	1	1	1	0	0	0	0	0	0	0
S00T15		0	S00T15	Tapete	Tapete	Dekoration	1	1	1		1	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T15		0	S00T15	Toilettenpapier	Toilettenpapier	Hygiene_Reinigung	1	2	1		0	0			0	0	1	1	0	0	0	0	0	0	0	0
S00T15		0	S00T15	Toene erzeugen (durch Vibration)	Toene erzeugen (durch Vibration)	Geraeusch	1	2	1		0	1			1	1	2	1	1	1	0	0	2	0	0	0.6
S00T15		0	S00T15	Vorhang	Vorhang	Abdeckung	1	2	1		1	0			-	-	1	-	1	0	1	0	0	0	0	0
S00T15		0	S00T15	Wurfgeschoss	Wurfgeschoss	Waffe	1	1	1		1	0			1	1	1	1	1	0	0	0	1	0	1	0.4
S00T16		0	S00T16	Abdeckplane	Abdeckung	Abdeckung	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T16		0	S00T16	Ball	Ball	Sportgeraet	1	1	1		1	0			0	0	1	1	0	0	0	1	0	0	0	0.2
S00T16		0	S00T16	Moebelstueck, unspezifisch	Moebelstueck, unspezifisch	Moebel	1	1	1		1	0			-	-	0	-	1	0	0	0	0	0	1	0.2
S00T16		0	S00T16	Papierschiff	Papierschiff	Spielzeug	1	2	1		0	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T16		0	S00T16	Schild	Schild	Information	1	1	1		1	1			0	0	0	1	1	0	0	0	0	0	0	0
S00T16		0	S00T16	Spielkarten	Spielkarten	Spielzeug	1	2	1		1	1			0	0	1	0	0	0	0	0	0	0	0	0
S00T16		0	S00T16	Tapete	Tapete	Dekoration	1	1	1		1	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T16		0	S00T16	Tisch stabilisieren	Tisch stabilisieren	Erheben	1	1	1		1	1			0	0	1	1	1	0	1	0	0	0	0	0
S00T16		0	S00T16	Umschlag	Verpackung	Verpackung	1	1	1		1	0			0	0	0	-	0	0	0	0	0	0	0	0
S00T17		0	S00T17	Bastelmaterial	Bastelmaterial	Basteln_Kunst	1	1	1		1	0			1	0	0	1	0	0	0	0	0	0	0	0
S00T17		0	S00T17	Brennmaterial	Brennmaterial	Verbrennen_Entzuenden	1	1	1		1	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T17		0	S00T17	Hut	Hut	Kleidung	1	1	1		1	0			0	0	1	1	1	0	0	1	0	0	0	0.2
S00T17		0	S00T17	Papierspielzeug	Spielzeug, unspezifisch	Spielzeug	1	1	1		1	0			-	-	0	-	0	0	0	0	0	0	0	0
S00T17		0	S00T17	Pappmasché	Pappmasché	Material	1	2	1		0	1			0	0	1	0	2	1	0	0	0	0	0	0.2
S00T17		0	S00T17	Schmierzettel	Notizzettel	Aufzeichnen_Zusammenfassen	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T17		0	S00T17	Schreibmaterial	Schreibmaterial	Material	1	2	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T17		0	S00T17	Tisch stabilisieren	Tisch stabilisieren	Erheben	1	1	1		1	1			0	0	1	1	1	0	1	0	0	0	0	0
S00T22		0	S00T22	Ball	Ball	Sportgeraet	1	1	1		1	0			0	0	1	1	0	0	0	1	0	0	0	0.2
S00T22		0	S00T22	Fensterstopper	Fensterstopper	Gewicht	1	1	1		1	2			0	1	2	2	1	0	0	0	0	0	0	0
S00T22		0	S00T22	Flyer	Flyer	Information	1	2	1		1	1			0	0	1	0	0	0	0	0	0	0	0	0
S00T22		0	S00T22	Papierschiff	Papierschiff	Spielzeug	1	1	1		0	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T22		0	S00T22	Plakat	Plakat	Information	1	2	1		0	0			0	0	1	1	0	0	0	0	0	0	0	0
S00T22		0	S00T22	Schreibmaterial	Schreibmaterial	Material	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T22		0	S00T22	Toilettenpapier	Toilettenpapier	Hygiene_Reinigung	1	1	1		1	0			0	0	1	1	0	0	0	0	0	0	0	0
S00T22		0	S00T22	Verpackung	Verpackung	Verpackung	1	1	1		1	0			0	0	0	-	0	0	0	0	0	0	0	0
S00T23		0	S00T23	Abdeckplane	Abdeckung	Abdeckung	1	2	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T23		0	S00T23	Ball	Ball	Sportgeraet	1	1	1		1	0			0	0	1	1	0	0	0	1	0	0	0	0.2
S00T23		0	S00T23	Brennmaterial	Brennmaterial	Verbrennen_Entzuenden	1	1	1		1	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T23		0	S00T23	Decke	Decke	Abdeckung	1	2	1		1	1			0	0	1	1	1	0	0	0	0	1	1	0.4
S00T23		0	S00T23	Hut	Hut	Kleidung	1	1	1		1	0			0	0	1	1	1	0	0	1	0	0	0	0.2
S00T23		0	S00T23	Klatsche (Roehre machen)	Klatsche	Waffe	1	1	1		1	2			1	1	2	2	2	0	0	0	2	0	0	0.4
S00T23		0	S00T23	Papierspielzeug	Spielzeug, unspezifisch	Spielzeug	1	1	1		0	0			-	-	0	-	0	0	0	0	0	0	0	0
S00T23		0	S00T23	Handtuch	Papiertuch	Hygiene_Reinigung	1	1	1		1	0			0	0	0	1	1	0	0	0	0	0	0	0
S00T23		0	S00T23	Schreibmaterial	Schreibmaterial	Material	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T23		0	S00T23	Sonnenschutz	Sonnenschutz	Schutz	1	1	1		1	0			1	1	1	1	1	0	0	0	0	0	0	0
S00T23		0	S00T23	Tischdecke	Tischdecke	Unterlage	1	1	1		1	1			0	0	1	0	1	0	0	0	0	0	0	0
S00T24		0	S00T24	Abdeckplane	Abdeckung	Abdeckung	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Bastelmaterial	Bastelmaterial	Basteln_Kunst	1	3	1		1	0			1	0	0	1	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Begrenzung	Begrenzung	Abgrenzen	1	2	1		1				-	-	0	-	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Dekoration (z.B. Bild)	Bild	Basteln_Kunst	1	3	1		1	1			0	0	0	2	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Brief	Brief	Kommunikation	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Buch	Buch	Literatur	1	2	1		0	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Geldschein	Geldschein	Geld_Wertgegenstand	1	1	1		1	1			0	0	1	2	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Hut	Hut	Kleidung	1	2	1		1	0			0	0	1	1	1	0	0	1	0	0	0	0.2
S00T24		0	S00T24	Isolierung	Isolierung	Isolierung	1	1	1		1	1			0	0	1	1	2	1	0	0	0	0	0	0.2
S00T24		0	S00T24	Kleidung, unspezifisch	Kleidung, unspezifisch	Kleidung	1	2	1		0	0			-	-	0	-	0	0	0	0	0	0	1	0.2
S00T24		0	S00T24	Lampenschirm	Lampenschirm	Licht	1	1	1		1	1			1	1	1	1	1	0	0	2	0	0	0	0.4
S00T24		0	S00T24	Leinwand	Leinwand, Kunst	Basteln_Kunst	1	3	1		0	1			0	0	1	2	1	0	0	0	0	0	0	0
S00T24		0	S00T24	Papierschiff	Papierschiff	Spielzeug	1	1	1		1	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T24		0	S00T24	Aufsaugen von Fluessigkeiten	Papiertuch	Hygiene_Reinigung	1	2	1		1	0			0	0	0	1	1	0	0	0	0	0	0	0
S00T24		0	S00T24	Sonnenschutz	Sonnenschutz	Schutz	1	1	1		1	0			1	1	1	1	1	0	0	0	0	0	0	0
S00T24		0	S00T24	Toilettenpapier	Toilettenpapier	Hygiene_Reinigung	1	2	1		0	0			0	0	1	1	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Trennwand	Trennwand	Abgrenzen	1	2	1		1	1			0	0	1	1	1	0	0	0	0	0	0	0
S00T24		0	S00T24	Unterlage	Unterlage	Unterlage	1	1	1		1	0			0	0	1	0	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Verpackung	Verpackung	Verpackung	1	1	1		1	0			0	0	0	-	0	0	0	0	0	0	0	0
S00T24		0	S00T24	Wassertransport	Transportmittel, unspezifisch	-	0	1	0		1	0			-	-	-	-	-	-	-	-	-	-	-	-
S00T24		0	S00T24	Zeitschrift	Zeitschrift	Literatur	1	2	1		0	1			0	0	1	0	0	0	0	0	0	0	0	0
S00T25		0	S00T25	Faecher	Faecher	Geraet	1	1	1		1	1			1	1	1	1	1	1	1	1	0	0	0	0.4
S00T25		0	S00T25	Feueranzuender	Feueranzuender	Verbrennen_Entzuenden	1	1	1		1	0			0	0	1	0	1	0	0	0	0	0	0	0
S00T25		0	S00T25	Isolierung	Isolierung	Isolierung	1	1	1		1	1			0	0	1	1	2	1	0	0	0	0	0	0.2
S00T25		0	S00T25	Papierspielzeug	Spielzeug, unspezifisch	Spielzeug	1	1	1		1	0			-	-	0	-	0	0	0	0	0	0	0	0
S00T25		0	S00T25	Schmierzettel	Notizzettel	Aufzeichnen_Zusammenfassen	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T25		0	S00T25	Schreibmaterial	Schreibmaterial	Material	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T25		0	S00T25	Tisch stabilisieren	Tisch stabilisieren	Erheben	1	1	1		1	1			0	0	1	1	1	0	1	0	0	0	0	0
S00T25		0	S00T25	Tischdecke	Tischdecke	Unterlage	1	1	1		0	1			0	0	1	0	1	0	0	0	0	0	0	0
S00T25		0	S00T25	Werkzeug (wenn gefaltet)	Werkzeug, unspezifisch	Werkzeug	1	1	1		1	0			-	-	0	-	1	0	0	0	0	0	0	0
S00T26		0	S00T26	Dekoration (z.B. Bild)	Bild	Basteln_Kunst	1	1	1		1	1			0	0	0	2	0	0	0	0	0	0	0	0
S00T26		0	S00T26	Einweggeschirr	Einweggeschirr	Geschirr	1	1	1		1	1			0	0	1	2	0	0	1	0	1	0	1	0.4
S00T26		0	S00T26	Kleidung	Kleidung, unspezifisch	Kleidung	1	1	1		1	0			-	-	0	-	0	0	0	0	0	0	1	0.2
S00T26		0	S00T26	Lineal	Lineal	Messinstrument	1	1	1		1	1			0	0	0	0	1	1	0	0	0	0	0	0.2
S00T26		0	S00T26	viele Blaetter --> Moebelstueck	Moebelstueck, unspezifisch	Moebel	1	1	1		1	0			-	-	0	-	1	0	0	0	0	0	1	0.2
S00T26		0	S00T26	Sonnenschutz	Sonnenschutz	Schutz	1	1	1		1	0			1	1	1	1	1	0	0	0	0	0	0	0
S00T26		0	S00T26	Trichter	Trichter	Geraet	1	1	1		1	1			2	1	1	1	1	1	0	1	0	0	0	0.4
S00T26		0	S00T26	Verpackung	Verpackung	Verpackung	1	1	1		1	0			0	0	0	-	0	0	0	0	0	0	0	0
S00T27		0	S00T27	Dekoration (z.B. Bild)	Bild	Basteln_Kunst	1	1	1		1	1			0	0	0	2	0	0	0	0	0	0	0	0
S00T27		0	S00T27	Buch	Buch	Literatur	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T27		0	S00T27	Moebelstueck, unspezifisch	Moebelstueck, unspezifisch	Moebel	1	1	1		1	0			-	-	0	-	1	0	0	0	0	0	1	0.2
S00T27		0	S00T27	Papierflieger	Papierflieger	Spielzeug	1	1	1		1	0			0	0	0	1	0	0	0	0	0	0	0	0
S00T27		0	S00T27	Schreibmaterial	Schreibmaterial	Material	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T28		0	S00T28	Abdeckplane	Abdeckung	Abdeckung	1	2	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T28		0	S00T28	Hut	Hut	Kleidung	1	1	1		1	0			0	0	1	1	1	0	0	1	0	0	0	0.2
S00T28		0	S00T28	Lesezeichen	Lesezeichen	Orientierung_Markierung	1	1	1		1	1			0	0	1	0	1	0	0	0	0	0	0	0
S00T28		0	S00T28	Papierspielzeug	Spielzeug, unspezifisch	Spielzeug	1	1	1		1	0			-	-	0	-	0	0	0	0	0	0	0	0
S00T28		0	S00T28	Unterlage	Unterlage	Unterlage	1	1	1		1	0			0	0	1	0	0	0	0	0	0	0	0	0
S00T28		0	S00T28	Vorhang	Vorhang	Abdeckung	1	2	1		1	0			-	-	1	-	1	0	1	0	0	0	0	0
S00T28		0	S00T28	Einkaufszettel	Einkaufszettel	Aufzeichnen_Zusammenfassen	1	1	1		1	0			-	-	1	-	0	0	0	0	0	0	0	0
S00T29		0	S00T29	Brief	Brief	Kommunikation	1	1	1		0	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T29		0	S00T29	Christbaumschmuck	Weihnachtsschmuck	Dekoration	1	1	1		1	2			1	1	2	1	1	0	0	0	0	0	0	0
S00T29		0	S00T29	Druckerpapier	Druckerpapier	Material	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T29		0	S00T29	Faecher	Faecher	Geraet	1	1	1		1	1			1	1	1	1	1	1	1	1	0	0	0	0.4
S00T29		0	S00T29	Papierspielzeug	Spielzeug, unspezifisch	Spielzeug	1	1	1		1	0			-	-	0	-	0	0	0	0	0	0	0	0
S00T29		0	S00T29	Hinweisschild	Schild	Information	1	1	1		1	1			0	0	0	1	1	0	0	0	0	0	0	0
