ID	Session ID	Datum	Teilnehmer	Antwort	Standardisiert	Kategorie	Antwort_Teilnehmer	Kategorie_Teilnehmer	Gueltigkeit spez	Gueltigkeit unspez	Flexibilitaet	Originalitaet	Gewoehnlich		Subjektiv_Sascha	Subjektiv_Johannes	Subjektiv_Christian	Subjektiv_Vera	Subjektiv_Julia	Subjektiv_Alina	Subjektiv_Anja	Subjektiv_Andrea	Subjektiv_Roman	Subjektiv_Thiess	Subjektiv_Steffen	Subjektiv_Durchschnitt
S00T01		0	S00T01	Regentonne	Regentonne	Behaelter, Wasser	1	1	1		1	1			1	1	1	0	1	1	0	0	0	0	0	0.2
S00T01		0	S00T01	Tasse	Trinkgefaess	Essen und Trinken	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T01		0	S00T01	Stuetze	Stuetze	Konstruktion	1	1	1		1	2			0	0	0	0	1	0	0	0	0	0	0	0
S00T01		0	S00T01	Topf 	Kochtopf	Kuechengeraet	1	1	1		1	0			0	0	0	1	0	0	0	0	0	0	0	0
S00T01		0	S00T01	Dosenwerfen	Dosenwerfen	Neugestaltung, Spiel	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T01		0	S00T01	Knautschzone	Knautschzone	Schutz	1	1	1		1	2			1	0	1	2	1	0	0	0	0	0	0	0
S00T01		0	S00T01	Blitzableiter	Faraday-Kaefig	Wissenschaft	1	1	1		1	1			2	2	1	2	2	2	1	1	0	2	0	1
S00T02		0	S00T02	Aufbewahrungsbehaelter	Aufbewahrungsbehaelter	Behaelter	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T02		0	S00T02	Kochtopf	Kochtopf	Kuechengeraet	1	1	1		1	0			0	0	0	1	0	0	0	0	0	0	0	0
S00T02		0	S00T02	Fussball	Ball	Neugestaltung, Spiel	1	1	1		1	0			0	0	0	0	0	1	0	0	0	0	1	0.4
S00T02		0	S00T02	Blumentopf	Blumentopf	Zuechtung	1	1	1		1	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T03		0	S00T03	Behaelter (fuer Stifte)	Stiftebehaelter	Behaelter	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T03		0	S00T03	Wasserbehaelter	Wasserbehaelter	Behaelter, Wasser	1	1	1		1	1			0	0	0	0	0	0	0	0	0	0	0	0
S00T03		0	S00T03	Glas	Trinkgefaess	Essen und Trinken	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T03		0	S00T03	Sprechanlage	Telefon	Kommunikation	1	1	1		1	0			0	0	0	0	1	0	0	0	0	0	0	0
S00T03		0	S00T03	Baumaterial	Baumaterial	Konstruktion	1	2	1		1	0			0	0	0	1	0	0	0	0	0	0	0	0
S00T03		0	S00T03	Wand	Wand	Konstruktion	1	2	1		0	1			0	0	0	1	1	0	0	0	0	0	0	0
S00T03		0	S00T03	Hochzeitsrassel fuers Auto	Hochzeitsrassel fuers Auto	Laerm	1	1	1		1	0			0	0	0	1	1	1	0	0	0	0	0	0.2
S00T03		0	S00T03	Messgeraet fuer Regen	Niederschlagsmesser	Messen	1	1	1		1	1			2	2	1	1	1	2	0	0	0	1	1	0.8
S00T03		0	S00T03	Hocker	Stuhl	Moebel	1	1	1		1	0			0	0	1	0	1	1	0	1	0	0	1	0.6
S00T03		0	S00T03	Dosenwerfen	Dosenwerfen	Neugestaltung, Spiel	1	3	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T03		0	S00T03	Fussball	Ball	Neugestaltung, Spiel	1	3	1		0	0			0	0	0	0	0	1	0	0	0	0	1	0.4
S00T03		0	S00T03	Stelzen	Stelzen	Neugestaltung, Spiel	1	3	1		0	0			0	0	1	1	2	2	0	1	0	1	0	0.8
S00T03		0	S00T03	Hundehuette	Tierhaus	Tiere	1	1	1		1	1			1	1	1	0	1	0	0	0	0	0	0	0
S00T04		0	S00T04	Gierlande	Girlande	-	0	1	0		1				-	-	0	-	1	0	0	0	0	0	1	0.2
S00T04		0	S00T04	Wasserkanister	Wasserbehaelter	Behaelter, Wasser	1	1	1		1	1			0	0	0	0	0	0	0	0	0	0	0	0
S00T04		0	S00T04	Wanddekoration	Dekoration, unspezifisch	Dekoration	1	1	1		1	0			-	-	0	-	1	0	0	0	0	0	0	0
S00T04		0	S00T04	Kerzenbehaelter	Kerzenbehaelter	Haushaltsgegenstand (nicht Moebel)	1	1	1		1	0			1	1	0	1	0	0	0	0	0	0	0	0
S00T04		0	S00T04	Gartenzaun	Zaun	Konstruktion	1	1	1		1	1			0	0	1	0	1	0	0	0	0	0	0	0
S00T04		0	S00T04	Als Pfosten verwenden	Torpfosten	Neugestaltung, Spiel	1	2	1		1	1			1	1	1	1	1	1	0	0	1	0	0	0.4
S00T04		0	S00T04	Hochzeitsrassel fuers Auto	Hochzeitsrassel fuers Auto	Laerm	1	1	1		1	0			0	0	0	1	1	1	0	0	0	0	0	0.2
S00T04		0	S00T04	Musiktrommel	Trommel	Musik	1	1	1		1	0			0	0	1	0	0	0	0	0	0	0	0	0
S00T04		0	S00T04	Fussball	Ball	Neugestaltung, Spiel	1	2	1		0	0			0	0	0	0	0	1	0	0	0	0	1	0.4
S00T04		0	S00T04	Spielzeug (z.B. Burg)	Spielzeugburg	Spielzeug (Kinder)	1	1	1		1	1			0	0	1	1	1	0	0	0	0	0	0	0
S00T04		0	S00T04	Stromleiter	Stromleiter	Wissenschaft	1	1	1		1	1			0	1	0	1	1	0	0	0	0	0	0	0
S00T04		0	S00T04	Blumentopf	Blumentopf	Zuechtung	1	1	1		1	0			0	0	1	1	1	0	0	0	0	0	0	0
S00T05		0	S00T05	Aufbewahrungsdose	Aufbewahrungsbehaelter	Behaelter	1	2	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T05		0	S00T05	Stiftehalter	Stiftebehaelter	Behaelter	1	2	1		0	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T05		0	S00T05	Kerzenhalter	Kerzenbehaelter	Haushaltsgegenstand (nicht Moebel)	1	4	1		1	0			1	1	0	1	0	0	0	0	0	0	0	0
S00T05		0	S00T05	Tischmuelleimer	Muelleimer	Haushaltsgegenstand (nicht Moebel)	1	4	1		0	0			0	0	1	0	0	0	0	0	0	0	0	0
S00T05		0	S00T05	Schirmstaender	Schirmstaender	Haushaltsgegenstand (nicht Moebel)	1	4	1		0	2			0	0	1	1	2	2	0	1	0	0	0	0.6
S00T05		0	S00T05	Vase	Vase	Haushaltsgegenstand (nicht Moebel)	1	4	1		0	0			0	1	1	1	1	0	0	0	0	0	0	0
S00T05		0	S00T05	zum Krach machen	Krachmacher	Laerm	1	1	1		1	1			0	0	0	0	0	0	0	0	0	0	0	0
S00T05		0	S00T05	Moebelstuecke (z.B. Tisch)	Tisch	Moebel	1	1	1		1	1			0	0	1	0	1	0	0	1	0	0	0	0.2
S00T05		0	S00T05	Schmuck	Schmuck, unspezifisch	Schmuck	1	1	1		1	0			-	-	0	-	1	0	0	0	0	0	0	0
S00T06		0	S00T06	Spardose	Spardose	Bank	1	1	1		1	1			0	0	1	0	0	0	0	0	0	0	0	0
S00T06		0	S00T06	Sammelbehaeltnis	Aufbewahrungsbehaelter	Behaelter	1	3	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T06		0	S00T06	Trinkbehaelter	Trinkgefaess	Essen und Trinken	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T06		0	S00T06	Essensbehaelter	Essensbehaelter	Behaelter	1	3	1		0	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T06		0	S00T06	Stiftehalter	Stiftebehaelter	Behaelter	1	3	1		0	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T06		0	S00T06	Lampe	Lampe	Haushaltsgegenstand (nicht Moebel)	1	1	1		1	0			1	1	1	1	1	1	0	0	0	0	0	0.2
S00T06		0	S00T06	Tischbeine	Tischbein	Moebel	1	1	1		1	1			0	0	1	0	1	0	0	1	0	0	0	0.2
S00T06		0	S00T06	Blumentopf	Blumentopf	Zuechtung	1	1	1		1	0			0	0	1	1	1	0	0	0	0	0	0	0
