ID	Session ID	Datum	Teilnehmer	Antwort	Antwort standardisiert	Kategorie	Antwort_Teilnehmer	Kategorie_Teilnehmer	Gueltigkeit spez	Gueltigkeit unspez	Flexibilitaet	Originalitaet	Gewoehnlich		Subjektiv_Sascha	Subjektiv_Johannes	Subjektiv_Christian	Subjektiv_Vera	Subjektiv_Julia	Subjektiv_Alina	Subjektiv_Anja	Subjektiv_Andrea	Subjektiv_Roman	Subjektiv_Thiess	Subjektiv_Steffen	Subjektiv_Durchschnitt
S00T08		0	S00T08	am Adventskalender Sachen aufhaengen	etw. aufhaengen	Aufhaengen	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T08		0	S00T08	Mobilé	Mobilé	Dekoration	1	1	1		1	1			2	2	1	1	2	0	0	0	0	0	0	0
S00T08		0	S00T08	zum Laeuten einer Glocke (Kloeppel)	Kloeppel	Geraet	1	1	1		1	2			0	0	0	0	1	0	0	0	0	0	0	0
S00T08		0	S00T08	zum Hochziehen von etwas	etw. hochziehen	Verbinden_Ziehen	1	1	1		1	1			0	0	0	1	1	0	0	0	0	0	0	0
S00T08		0	S00T08	Messinstrument von Breite	Messinstrument	Messinstrument	1	1	1		1	0			0	0	0	2	1	1	0	0	0	0	0	0.2
S00T08		0	S00T08	Naehen	Naehzeug	Handarbeit	1	1	1		1	0			0	0	0	0	1	0	0	0	0	0	0	0
S00T08		0	S00T08	Knoten	Knoten	Befestigung	1	1	1		1	1			0	0	0	0	1	0	0	0	0	0	0	0
S00T08		0	S00T08	Armband	Armband	Schmuck	1	3	1		1	0			1	0	1	0	1	0	0	0	0	0	0	0
S00T08		0	S00T08	Kette	Kette	Schmuck	1	3	1		0	0			0	0	0	0	1	0	0	0	0	0	0	0
S00T08		0	S00T08	Ohrring	Ohrring	Schmuck	1	3	1		0	1			0	0	1	1	1	0	0	0	1	0	1	0.4
S00T08		0	S00T08	Pendel	Pendel	Wissenschaft	1	1	1		1	1			0	0	1	2	1	1	0	0	0	0	0	0.2
S00T08		0	S00T08	Zahn ziehen	Zahn ziehen	Medizin	1	1	1		1	1			1	1	1	1	2	2	1	0	1	1	1	1
S00T08		0	S00T08	Zahnseide	Zahnseide	Hygiene	1	1	1		1	0			0	0	1	1	2	1	0	0	0	0	0	0.2
S00T09		0	S00T09	Bild aufhaengen	etw. aufhaengen	Aufhaengen	1	1	1		1	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T09		0	S00T09	Fahrradklammer	Fahrradklammer	Befestigung (Kleidung)	1	2	1		1	2			1	1	1	1	2	1	0	2	0	0	1	0.8
S00T09		0	S00T09	Tuerkontrolle	Tuerkontrolle	Befestigung	1	2	1		0	1			2	2	1	2	2	0	0	0	0	0	0	0
S00T09		0	S00T09	Schnuersenkel	Schnuersenkel	Befestigung (Kleidung)	1	2	1		0	0			0	0	1	1	0	0	0	0	0	0	0	0
S00T09		0	S00T09	kleines Loch zunaehen	Naehzeug	Handarbeit	1	1	1		1	0			0	0	0	0	1	0	0	0	0	0	0	0
S00T09		0	S00T09	Schnurspiel mit Haenden	Schnurspiel	Spiel	1	1	1		1	1			1	0	0	1	0	0	0	0	0	0	0	0
S00T09		0	S00T09	kleines Paket zuschnueren	Paketschnur	Zusammenbinden	1	2	1		1				-	-	1	-	0	0	0	0	0	0	0	0
S00T09		0	S00T09	Sack zubinden	etw. zusammenbinden	Zusammenbinden	1	2	1		0	0			0	0	0	0	0	0	0	0	0	0	0	0
S00T09		0	S00T09	Haare zusammenbinden	Haarband	Schmuck	1	1	1		1	0			0	0	1	0	1	0	0	0	0	0	0	0
